medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
220,,MM,A분할선5,팔각형,하양,
221,,마크,N10,원형,하양,
222,,N,25,원형,하양,
223,,KK,80,타원형,하양,
224,,KK,40,타원형,하양,
225,,JX,,원형,노랑,
226,,마크 OLIET     120,,장방형,파랑,파랑
227,,UT,CL CR,장방형,하양,
228,,LV,마크,원형,하양,
229,,Q분할선200,마크,원형,하양,
230,,토코엔지,,장방형,갈색,
231,,TM80,,타원형,하양,
232,,TM40,,타원형,하양,
233,,0,KW80,타원형,하양,
234,,분할선,KW40,타원형,하양,
235,,HIP,RIS,타원형,파랑,
236,,ZNC,,타원형,파랑,
237,,D-W,RIS,타원형,파랑,
238,,JI,RIS,타원형,파랑,
239,,D-W,TS4,타원형,하양,
240,,IY40,,타원형,하양,
241,,IY80,,타원형,하양,
242,,사브,분할선,육각형,노랑,
243,,SJ,AD,원형,하양,
244,,10,마크,원형,하양,
245,,IDa,,원형,하양,
246,,마크AD,,원형,하양,
247,,MM,HV,원형,하양,
248,,JI,ΛF,원형,하양,
249,,BC VC,,장방형,하양,
250,,CN,6,원형,노랑,
251,,마크,C분할선16,원형,분홍,
252,,OL5HDP,,원형,하양,
253,,MM,C분할선16,원형,분홍,
254,,SK,G분할선C,타원형,연두,
255,,마크,S150,타원형,하양,
256,,BAYER,CIP 750,장방형,하양,
257,,10.000,,장방형,갈색,투명
258,,100,HL,기타,하양,
259,,0,,장방형,갈색,갈색
260,,JI,M,사각형,주황,
261,,331,,타원형,분홍,
262,,222,,타원형,하양,
263,,마크  80mg3250,,장방형,갈색,하양
264,,MONOLAIR,CKD4,타원형,분홍,
265,,MT4 KDC,,원형,분홍,
266,,YH,S5,원형,분홍,
267,,IT,마크,원형,하양,
268,,MM,C분할선8,원형,분홍,
269,,마크,C분할선8,원형,분홍,
270,,HM,2,오각형,분홍,
271,,PA2,마크,오각형,분홍,
272,,YH,S4,타원형,분홍,
273,,M5,마크,원형,분홍,
274,,KDC,C분할선16,원형,분홍,
275,,MO5,마크,원형,분홍,
276,,OL10HDP,,원형,하양,
277,,DC120,,타원형,초록,
278,,CKD 75,,장방형,노랑,회색
279,,LCE75,,타원형,분홍,
280,,CKD 45,,장방형,회색,회색
281,,BSP,5분할선5분할선5,장방형,하양,
282,,CKD 30,,장방형,노랑,노랑
283,,LCE125,,타원형,분홍,
284,,F분할선M,KPP,원형,하양,
285,,F분할선D,,기타,하양,
286,,BTO UBP,,장방형,하양,하양
287,,D-W AMQ,,장방형,갈색,
288,,ETX SBT,,장방형,갈색,
289,,HDP,VC분할선10,팔각형,하양,
290,,Z분할선2,,타원형,하양,
291,,마크,C분할선16,원형,분홍,
292,,YH,L5,원형,하양,
293,,JI분할선1,,장방형,하양,
294,,CKD,PS분할선5,원형,하양,
295,,BJ SI,,장방형,초록,
296,,ADCX,,원형,하양,
297,,ICP,,타원형,갈색,
298,,G150,,장방형,파랑,
299,,HR15,,장방형,파랑,
300,,B150,,장방형,파랑,
301,,0,KW80,타원형,분홍,하양
302,,TM80,,타원형,하양,분홍
