medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
10971,,마크 ERD,,장방형,초록,노랑
10972,,OL2.5,,원형,하양,
10973,,OL5,,원형,하양,
10974,,OL10,,원형,하양,
10975,,OL 15,,타원형,파랑,
10976,,HIP,RS,원형,분홍,
10977,,0,케라네일,장방형,자주,자주
10978,,IWA,분할선,장방형,분홍,
10979,,CP 100,,기타,하양,
10980,,DCC,,원형,하양,
10981,,SJ,T분할선1,원형,주황,
10982,,MK EC,,장방형,초록,노랑
10983,,CLP CEFARO,,장방형,보라,하양
10984,,H분할선D,5,타원형,분홍,
10985,,H분할선D,10,타원형,분홍,
10986,,H분할선D,20,타원형,분홍,
10987,,E02,,원형,분홍,
10988,,NK100,,장방형,하양,하양
10989,,NK2,,원형,분홍,
10990,,10,10,원형,하양,
10991,,RDS,,타원형,"파랑, 투명",
10992,,I∩I,Q,원형,연두,
10993,,WIAL,,타원형,노랑,
10994,,RBS,,원형,연두,
10995,,T207,100,원형,하양,
10996,,ETX M4,,장방형,갈색,
10997,,TE,C1,원형,하양,
10998,,JY20,,원형,분홍,
10999,,YI,,팔각형,분홍,
11000,,MJ,T,원형,연두,
11001,,MJ2,,원형,하양,
11002,,MJ,3,장방형,갈색,
11003,,케라시딜 케라시딜,,장방형,초록,노랑
11004,,MTS,15,장방형,갈색,
11005,,MTS,4,타원형,노랑,
11006,,HN,ΛF,원형,하양,
11007,,S4,분할선,원형,하양,
11008,,SPP,L50,타원형,하양,
11009,,ID EP,,타원형,빨강,
11010,,HT,P2,원형,노랑,
11011,,SD SSJ,,장방형,하양,하양
11012,,SD10,,타원형,갈색,
11013,,CΛ,,원형,분홍,
11014,,AC2,,원형,분홍,
11015,,AC4,,원형,분홍,
11016,,KS20,분할선,장방형,노랑,
11017,,S분할선Z,120,타원형,하양,
11018,,N분할선K,D,장방형,하양,
11019,,Q SR,50,원형,하양,
11020,,Q SR,150,장방형,하양,
11021,,Q SR,300,장방형,하양,
11022,,Q SR,200,장방형,하양,
11023,,Q SR,400,타원형,하양,
11024,,마크,E분할선2,원형,하양,
11025,,Λ J,2,장방형,노랑,
11026,,0,HAHC,장방형,초록,노랑
11027,,TG,ATV,타원형,하양,
11028,,MT10AC,,사각형,노랑,
11029,,MT4AC,,원형,분홍,
11030,,MT5AC,,원형,분홍,
11031,,POML1mg,,장방형,파랑,노랑
11032,,POML4mg,,장방형,파랑,파랑
11033,,POML2mg,,장방형,파랑,주황
11034,,마크4,분할선,원형,하양,
11035,,D.W100,,장방형,하양,하양
11036,,B분할선T,20,삼각형,노랑,
11037,,DPC,CR,타원형,하양,
11038,,CFRD 500,,장방형,초록,노랑
11039,,NKCS,,장방형,하양,
11040,,DWB,AF,원형,하양,
11041,,ΛT,TD,원형,하양,
11042,,MT,500,장방형,하양,
11043,,NSP,,타원형,분홍,
11044,,Hanmi 0.4,,장방형,주황,주황
11045,,V1,MI,타원형,주황,
11046,,V23,MI,원형,분홍,
11047,,5,마크,원형,노랑,
11048,,MM UDC,,장방형,하양,하양
11049,,TM분할선TM,JWS분할선JWS,장방형,노랑,
11050,,ΛIR,마크,원형,하양,
11051,,SNT,,원형,분홍,
11052,,AC,VΛ10,타원형,노랑,
11053,,AC,VΛ5,타원형,주황,
11054,,R5,Kb,원형,주황,
11055,,CLP 111,,장방형,주황,주황
11056,,DWB,BL분할선+,타원형,노랑,
11057,,DWB,BL분할선+P,타원형,하양,
11058,,DWB,BL분할선+F,타원형,노랑,
11059,,ΛMT,,타원형,하양,
11060,,JH,3,원형,하양,
11061,,SW TC,,장방형,하양,하양
11062,,TX1,,원형,하양,
11063,,T분할선L1,,원형,하양,
11064,,R5,HWP,원형,주황,
11065,,R20,HWP,원형,분홍,
11066,,TX2,,원형,하양,
11067,,AJ2,,원형,분홍,
11068,,AJ4,,원형,분홍,
11069,,MMCA,,타원형,갈색,
11070,,마크,,원형,노랑,
11071,,SCD,2분할선5,타원형,하양,
11072,,KG4,,원형,분홍,
11073,,KG2,,원형,분홍,
11074,,PL2,,원형,분홍,
11075,,PL4,,원형,분홍,
11076,,TC,PI,원형,분홍,
11077,,TC,R2,원형,분홍,
11078,,TC AP,,장방형,갈색,분홍
11079,,TC,LF,타원형,노랑,
11080,,V분할선T,16,타원형,주황,
11081,,TC,TT,장방형,노랑,
11082,,TC,L+,타원형,노랑,
11083,,TC,R1,원형,분홍,
11084,,TCC,,장방형,노랑,
11085,,TC,20,원형,하양,
11086,,VT+,160,타원형,빨강,
11087,,A분할선D,,팔각형,하양,
11088,,TC,P,원형,하양,
11089,,VT+,80,타원형,분홍,
11090,,TC1,,기타,하양,
11091,,TC 7.5,,장방형,연두,연두
11092,,TC,R,원형,노랑,
11093,,TC,10,원형,하양,
11094,,TC,L,타원형,하양,
11095,,TC,TS,장방형,노랑,
11096,,V분할선T,8,원형,분홍,
11097,,T분할선C,CI,장방형,하양,
11098,,B분할선L,50,타원형,하양,
11099,,BL,100,기타,하양,
11100,,PSSC,,타원형,"주황, 투명",
11101,,IT,IT,원형,하양,
11102,,I∩I,CL,원형,분홍,
11103,,T분할선L2,,원형,하양,
11104,,R10,HWP,원형,분홍,
11105,,DS,LX,원형,하양,
11106,,GCC 그린콜샷-S,,장방형,하양,분홍
11107,,ONC,,원형,하양,
11108,,SINIL 제감노즈,,장방형,초록,노랑
11109,,RY,1,원형,하양,
11110,,RY,LC,원형,하양,
11111,,CLP,244,원형,하양,
11112,,TNP,,타원형,하양,
11113,,KP분할선GL,분할선,기타,파랑,
11114,,VT,,원형,하양,
11115,,ISP,T,원형,하양,
11116,,LV,C,타원형,하양,
11117,,TS 400,,타원형,"파랑, 투명",
11118,,KMP,3,원형,하양,
11119,,5,,삼각형,하양,
11120,,LX2,,타원형,하양,
11121,,SJ,T분할선4,타원형,주황,
11122,,POML3mg,,장방형,파랑,초록
11123,,EXCELC1.5mg,,장방형,노랑,노랑
11124,,FD,마크,원형,하양,
11125,,N22,마크,타원형,갈색,
11126,,N23,마크,타원형,주황,
11127,,N21,마크,타원형,노랑,
11128,,SD분할선N,분할선,장방형,초록,
11129,,마크 1,,장방형,분홍,
11130,,마크 2,,장방형,노랑,
11131,,마크 3,,장방형,하양,
11132,,분할선,121,원형,하양,
11133,,JY,,원형,분홍,
11134,,CLT,분할선,기타,노랑,
11135,,BFB,CKD,장방형,주황,
11136,,HIP,625,타원형,하양,
11137,,MK4,,원형,분홍,
11138,,MK2,,원형,분홍,
11139,,MK,S/M,장방형,노랑,
11140,,마크,,원형,분홍,
11141,,IH,PS,원형,갈색,
11142,,20,D분할선A,타원형,분홍,
11143,,5,D분할선A,장방형,분홍,
11144,,RS20,YH,원형,분홍,
11145,,DCPW,,장방형,빨강,
11146,,BSI,,원형,연두,
11147,,RP FLC50,,장방형,청록,하양
11148,,RZ2,분할선,타원형,분홍,
11149,,ILDONG 250,,원형,갈색,
11150,,ΛUK,1분할선1,팔각형,하양,
11151,,ER 2,,원형,분홍,
11152,,ER 4,,원형,분홍,
11153,,브이콜에프,,장방형,"빨강, 투명",
11154,,NB,5,팔각형,하양,
11155,,3641,,타원형,분홍,
11156,,CP 슬림팍,,장방형,초록,연두
11157,,콜스롤,,타원형,연두,초록
11158,,CP 20,,장방형,초록,노랑
11159,,C분할선P,25,원형,노랑,
11160,,유메A,,장방형,"빨강, 투명",
11161,,CP5,,원형,연두,
11162,,DXD,분할선,장방형,분홍,
11163,,마크N EST,,장방형,초록,노랑
11164,,G분할선DM,,기타,초록,
11165,,KK,CR,장방형,하양,
11166,,QX150,,장방형,하양,
11167,,QX200,,장방형,하양,
11168,,QX50,,원형,하양,
11169,,QX400,,타원형,하양,
11170,,QX300,,장방형,하양,
11171,,R분할선K,35,타원형,주황,
11172,,SNP TRT,,장방형,갈색,갈색
11173,,마크500,,원형,하양,
11174,,LXR,60,원형,분홍,
11175,,CLD,CΛ,원형,분홍,
11176,,BITS,,원형,하양,
11177,,HT1,분할선,타원형,하양,
11178,,ΛUK4,분할선,타원형,주황,
11179,,YL,95,원형,하양,
11180,,IHP FXT,,장방형,노랑,노랑
11181,,BR5,,원형,하양,
11182,,MKCR,,원형,하양,
11183,,10/20,DWP,장방형,하양,
11184,,CLP,10/20,장방형,하양,
11185,,CL,D2,원형,노랑,
11186,,LPS,10,원형,하양,
11187,,RZ분할선10,Kb,장방형,분홍,
11188,,RZ분할선5,Kb,장방형,분홍,
11189,,RZ분할선20,Kb,타원형,분홍,
11190,,L분할선F,100,원형,노랑,
11191,,ETX,10/20,장방형,하양,
11192,,CP,10/20,장방형,하양,
11193,,10/10,DWP,장방형,하양,
11194,,DVD20,,원형,하양,
11195,,YL,625,장방형,하양,
11196,,RYP,10/10,장방형,하양,
11197,,SCD,10/10,장방형,하양,
11198,,KS,,삼각형,갈색,
11199,,ON2,,원형,하양,
11200,,DWB,CF분할선500,장방형,하양,
11201,,IHP D50,,장방형,노랑,노랑
11202,,CEP,16,장방형,하양,
11203,,DUO,,타원형,하양,
11204,,DWP,500,원형,하양,
11205,,PB,LM,원형,하양,
11206,,CP PIS,,장방형,초록,노랑
11207,,AS10,UT,원형,하양,
11208,,E1,,원형,하양,
11209,,BCL,분할선,원형,하양,
11210,,FAc-C,,타원형,"초록, 투명",
11211,,ONT,분할선,원형,하양,
11212,,D.W.M,,타원형,하양,
11213,,5R,,장방형,하양,
11214,,20R,,장방형,분홍,
11215,,10R,,장방형,노랑,
11216,,E분할선S,CKD100,원형,하양,
11217,,KS,LZP,타원형,노랑,
11218,,EG,,원형,하양,
11219,,HT HUROP,,장방형,주황,주황
11220,,MRV,,장방형,갈색,
11221,,V분할선B,80,원형,분홍,
11222,,HT2,분할선,원형,하양,
11223,,KDC,,장방형,하양,
11224,,50/100,,장방형,파랑,
11225,,25/100,,장방형,파랑,
11226,,R150,,장방형,보라,
11227,,BI,IT,원형,하양,
11228,,ID,ma,타원형,분홍,
11229,,ENK,,장방형,보라,
11230,,CV1,10/20,장방형,하양,
11231,,RE20,Y분할선H,타원형,분홍,
11232,,RE5,Y분할선H,장방형,분홍,
11233,,EZ10,분할선,장방형,하양,
11234,,VY2,,장방형,하양,
11235,,IH,CI,원형,하양,
11236,,GHS,,타원형,갈색,
11237,,C17,마크,원형,연두,
11238,,7767400,,장방형,하양,하양
11239,,PL,35,장방형,주황,
11240,,HT,CR,장방형,하양,
11241,,HT,S10,장방형,하양,
11242,,HT 400,,타원형,갈색,
11243,,BST,5/100,장방형,분홍,
11244,,BST,5/50,장방형,하양,
11245,,BST,10/50,장방형,분홍,
11246,,YHMag-Bγ,,장방형,갈색,
11247,,CL,M1,사각형,분홍,
11248,,CQ분할선250,,원형,하양,
11249,,HSC500,,타원형,노랑,
11250,,ETX,,장방형,연두,
11251,,YAC D&N,,타원형,"파랑, 투명",
11252,,HL,Λ15,원형,노랑,
11253,,HL,Λ05,타원형,파랑,
11254,,RN1,분할선,타원형,하양,
11255,,RN2,분할선,원형,하양,
11256,,RD5,J분할선I,장방형,분홍,
11257,,RD2,J분할선I,타원형,분홍,
11258,,WK,54,장방형,하양,
11259,,X-VJ,분할선,장방형,갈색,
11260,,C1,마크,원형,분홍,
11261,,C5,마크,원형,노랑,
11262,,UKP,10/20,장방형,하양,
11263,,DWB,10/20,장방형,하양,
11264,,IH,,원형,하양,
11265,,BP분할선1,분할선,기타,하양,
11266,,F분할선2,마크,원형,하양,
11267,,RY,625,장방형,하양,
11268,,SK분할선FET,40,원형,하양,
11269,,SK PN   112.5,,장방형,파랑,노랑
11270,,HIP,CFA,장방형,하양,
11271,,DPC,10/20,장방형,하양,
11272,,TF10,,원형,하양,
11273,,X-VS,분할선,장방형,갈색,
11274,,RR5,,원형,하양,
11275,,RR1,,원형,하양,
11276,,CP,50,타원형,노랑,
11277,,300,MI,장방형,하양,
11278,,150,MI,장방형,하양,
11279,,200,MI,장방형,하양,
11280,,50,MI,원형,하양,
11281,,LEV분할선750,분할선,타원형,분홍,
11282,,400,MI,타원형,하양,
11283,,EIT,,원형,하양,
11284,,EOT,,원형,하양,
11285,,JY2,,장방형,하양,
11286,,AC,RV5,원형,주황,
11287,,마크 S12,1000,타원형,갈색,
11288,,마크 S5,1000,타원형,갈색,
11289,,마크 S12,850,타원형,분홍,
11290,,마크 S5,500,타원형,노랑,
11291,,마크 S12,500,타원형,분홍,
11292,,마크 S5,850,타원형,노랑,
11293,,마크,C I,타원형,하양,
11294,,1020,UT,장방형,하양,
11295,,SNP,S/M,장방형,노랑,
11296,,RYP,10/20,장방형,하양,
11297,,JWSLC,,원형,하양,
11298,,RE20,,원형,하양,
11299,,D13,마크,타원형,하양,
11300,,SW,FC,장방형,하양,
11301,,마크 EDT,,장방형,초록,초록
11302,,LCB,L2,장방형,하양,
11303,,KFV,250,원형,하양,
11304,,WM,,장방형,하양,
11305,,CLMM,,원형,하양,
11306,,KB,23,장방형,갈색,
11307,,마크,RV,원형,분홍,
11308,,KMP,300,장방형,하양,
11309,,KMP,200,원형,하양,
11310,,KMP,100,원형,노랑,
11311,,BP,25,원형,분홍,
11312,,cr,crH,원형,하양,
11313,,DVD10,,원형,하양,
11314,,HK,80,원형,초록,
11315,,제노타A 제노타A,,장방형,노랑,노랑
11316,,RE10,,원형,하양,
11317,,HLC1,,원형,하양,
11318,,HLC0,,원형,하양,
11319,,LVA,20,원형,하양,
11320,,LVA,10,원형,하양,
11321,,BR10,,원형,하양,
11322,,TF5,,원형,하양,
11323,,HDP,RM,원형,하양,
11324,,I분할선Y,,장방형,분홍,
11325,,ΛUK3,분할선,원형,분홍,
11326,,Λ분할선K,6,장방형,하양,
11327,,ΛUK,1분할선3,타원형,하양,
11328,,C3Λ,,원형,하양,
11329,,C1Λ,,원형,분홍,
11330,,C2Λ,,원형,노랑,
11331,,D,U,원형,하양,
11332,,DCS1,,장방형,하양,
11333,,DCS2,,장방형,하양,
11334,,BR20,,원형,하양,
11335,,NX2,,원형,분홍,
11336,,NX1,,원형,분홍,
11337,,DU2,,원형,하양,
11338,,IK,V분할선T,원형,분홍,
11339,,PU,18,원형,하양,
11340,,EZ,10/20,장방형,하양,
11341,,PL,BA분할선5,팔각형,하양,
11342,,NK,5,원형,하양,
11343,,IH100,,타원형,분홍,
11344,,Fac,,타원형,"빨강, 투명",
11345,,FAc-N,,타원형,"노랑, 투명",
11346,,HLC2,,원형,하양,
11347,,RR2,,원형,하양,
11348,,GE1,분할선,타원형,하양,
11349,,NK,D4,원형,노랑,
11350,,WK,AMG,장방형,하양,
11351,,WK,분할선,원형,분홍,
11352,,L11,NVR,타원형,분홍,
11353,,LZ,NVR,타원형,하양,
11354,,L1,NVR,타원형,노랑,
11355,,마크,15,원형,하양,
11356,,마크,Λ4,타원형,하양,
11357,,UM,AV2,타원형,주황,
11358,,ERT,,원형,하양,
11359,,SAMJIN BRP300,,장방형,초록,노랑
11360,,DPC,10/10,장방형,하양,
11361,,HUV,T12,장방형,노랑,
11362,,CV1,10/10,장방형,하양,
11363,,EZ,10/10,장방형,하양,
11364,,SCD,10/20,장방형,하양,
11365,,HL,ESM,원형,노랑,
11366,,ETX,10/10,장방형,하양,
11367,,UKP,10/10,장방형,하양,
11368,,SAMJIN 400,,장방형,하양,하양
11369,,VY1,,장방형,하양,
11370,,UT,10/10,장방형,하양,
11371,,J분할선R,TN,원형,분홍,
11372,,AC,10/10,장방형,하양,
11373,,마그타민,,장방형,갈색,
11374,,DWB,10/10,장방형,하양,
11375,,마크,분할선,사각형,주황,
11376,,DU1,,원형,하양,
11377,,MKT,,원형,하양,
11378,,NS,75,원형,분홍,
11379,,L,2,원형,하양,
11380,,RE5,,원형,하양,
11381,,L분할선X,10,타원형,하양,
11382,,L분할선X,20,타원형,하양,
11383,,RP,CLM,타원형,노랑,
11384,,헤파신 헤파신,,장방형,파랑,분홍
11385,,DVD 5,,원형,하양,
11386,,마크160,,원형,하양,
11387,,마크85,,원형,분홍,
11388,,마크165,,원형,노랑,
11389,,ΛUK,분할선5,원형,하양,
11390,,IC,AF,원형,하양,
11391,,IC,LV60,원형,하양,
11392,,ICF,,원형,하양,
11393,,IC분할선LX,,원형,하양,
11394,,IC,TP,원형,하양,
11395,,IK,I분할선K,원형,하양,
11396,,IWP,VRMN,팔각형,분홍,
11397,,마크 HP,,장방형,하양,하양
11398,,MM,75,원형,분홍,
11399,,AF2,,원형,하양,
11400,,MS4IC,십자분할선,타원형,하양,
11401,,IC,50,원형,빨강,
11402,,IC35,,원형,주황,
11403,,IC분할선GP,분할선,기타,파랑,
11404,,HK HK,,장방형,초록,초록
11405,,NB-890,,원형,파랑,
11406,,TF20,,원형,하양,
11407,,L1,NVR,타원형,노랑,
11408,,L11,NVR,타원형,분홍,
11409,,LZ,NVR,타원형,하양,
11410,,마크,분할선,원형,분홍,
11411,,KNP,2,원형,하양,
11412,,락토딘 락토딘,,장방형,노랑,노랑
11413,,EXCELC4.5mg,,장방형,갈색,갈색
11414,,EXCELC 6mg,,장방형,갈색,주황
11415,,C분할선A,WN,장방형,주황,
11416,,KMS,3,장방형,주황,
11417,,JS분할선PD,,원형,하양,
11418,,WM,5,원형,하양,
11419,,PX,,원형,하양,
11420,,마크40,,원형,분홍,
11421,,마크20,,원형,분홍,
11422,,RY,,원형,하양,
11423,,100CL마크,,장방형,하양,하양
11424,,HS,LP,원형,하양,
11425,,HS C2,,장방형,하양,
11426,,RVT,,원형,하양,
11427,,마크2,,원형,분홍,
11428,,마크5,,원형,주황,
11429,,YH ANG,,장방형,하양,하양
11430,,MM,S분할선50,장방형,하양,
11431,,마크,CL,원형,분홍,
11432,,MT,4,타원형,분홍,
11433,,MT,5,원형,분홍,
11434,,DM,TP,원형,하양,
11435,,HWPEPT,,원형,하양,
11436,,M분할선K,SM,기타,하양,
11437,,마크분할선100,분할선,육각형,파랑,
11438,,IC,15,원형,하양,
11439,,PL,LV,원형,하양,
11440,,글리콜린,,타원형,갈색,
11441,,LJK,분할선,장방형,하양,
11442,,AC,P,원형,하양,
11443,,분할선,BI,기타,하양,
11444,,E,10,원형,하양,
11445,,YLE,,원형,하양,
11446,,마크 7.5,,장방형,초록,초록
11447,,KMS,R,원형,분홍,
11448,,T0,MI,원형,하양,
11449,,DX,3,타원형,하양,
11450,,99,분할선,타원형,갈색,
11451,,DX,6,타원형,노랑,
11452,,CO분할선20,,원형,하양,
11453,,JWS ENC,,장방형,하양,하양
11454,,∪∩,,원형,초록,
11455,,OEO,F,장방형,하양,
11456,,IK,LP,타원형,노랑,
11457,,ENP,S,타원형,하양,
11458,,HD3,,장방형,분홍,
11459,,HD2,,장방형,주황,
11460,,HD1,,장방형,하양,
11461,,EZ4,,원형,분홍,
11462,,LIV,10,원형,하양,
11463,,마크 EDR,,장방형,초록,초록
11464,,CL,L분할선1,타원형,하양,
11465,,CLPDRP,분할선,원형,하양,
11466,,CLP 584,,장방형,초록,노랑
11467,,ID r,,타원형,노랑,
11468,,I∩I,분할선,장방형,하양,
11469,,J분할선Y,DXF,장방형,분홍,
11470,,LV,,타원형,하양,
11471,,ΛST,,원형,하양,
11472,,T분할선G,25,원형,노랑,
11473,,DU,,타원형,하양,
11474,,CP,1분할선5,원형,노랑,
11475,,CP20,,타원형,분홍,
11476,,A65,F65,기타,노랑,
11477,,A10,F6,기타,분홍,
11478,,A35,F35,기타,하양,
11479,,A31,F31,기타,연두,
11480,,LVT,,원형,하양,
11481,,KC,,원형,하양,
11482,,SC,,원형,노랑,
11483,,ERD ERP,,장방형,초록,노랑
11484,,CX200,Y분할선J,장방형,노랑,
11485,,L L,,장방형,갈색,
11486,,J분할선W,,장방형,갈색,
11487,,2VH+,VR+,타원형,빨강,
11488,,V분할선B,160,타원형,주황,
11489,,VH+,VR+,타원형,분홍,
11490,,HN,P,원형,하양,
11491,,DPA DPA,,장방형,파랑,하양
11492,,Wal C51,,장방형,파랑,파랑
11493,,IWP,PO,원형,하양,
11494,,KMS,S,타원형,연두,
11495,,MCW BR,,장방형,초록,노랑
11496,,ERV,,타원형,갈색,
11497,,MKF,분할선,장방형,하양,
11498,,5UC,마크,원형,노랑,
11499,,JCC100 JWS,,장방형,하양,하양
11500,,JCC200 JWS,,장방형,하양,하양
11501,,HS5,,장방형,하양,
11502,,HS7,,장방형,분홍,
11503,,HS6,,장방형,주황,
11504,,AC,5,원형,하양,
11505,,UPT,20,원형,하양,
11506,,PK1분할선1,분할선,기타,하양,
11507,,IK,AT,원형,하양,
11508,,R분할선N,35,타원형,주황,
11509,,마크분할선S,150,타원형,분홍,
11510,,AH,NAC,원형,하양,
11511,,BI AP,,장방형,회색,하양
11512,,CLP 491,,장방형,파랑,하양
11513,,CLP 492,,장방형,파랑,연두
11514,,ALPHA,214,장방형,하양,
11515,,EN2,K,원형,하양,
11516,,E2,D4,원형,노랑,
11517,,VTO,,타원형,노랑,
11518,,V분할선160,마크,장방형,갈색,
11519,,KS S,,장방형,분홍,
11520,,IK,LX,원형,분홍,
11521,,IT분할선4,KI,타원형,주황,
11522,,IKSU CX200,,장방형,하양,하양
11523,,MI분할선6,분할선,타원형,연두,
11524,,RP분할선GLP,분할선,기타,초록,
11525,,saCA,,원형,하양,
11526,,ON1,,원형,하양,
11527,,ΛTO,T10,타원형,하양,
11528,,TC,5,타원형,노랑,
11529,,C분할선P,10,기타,하양,
11530,,CP,10/10,장방형,하양,
11531,,CP,D1,원형,하양,
11532,,CP,XR,장방형,하양,
11533,,CP,D2,원형,노랑,
11534,,RP GBP100,,장방형,하양,하양
11535,,RP GBP300,,장방형,노랑,노랑
11536,,NK,B,기타,하양,
11537,,NK,S,타원형,하양,
11538,,마크,PC,원형,하양,
11539,,마크,CV,원형,분홍,
11540,,마크,MP,원형,하양,
11541,,마크,HTZ,원형,하양,
11542,,마크,80,원형,주황,
11543,,20,R,원형,노랑,
11544,,10,R,원형,노랑,
11545,,센스온,,장방형,갈색,
11546,,ΛE,마크,원형,하양,
11547,,HUV,T분할선73,기타,하양,
11548,,T71,마크,원형,파랑,
11549,,I∩I100,,원형,하양,
11550,,S분할선40,TD,타원형,분홍,
11551,,JY1,,장방형,하양,
11552,,YP HPT,,장방형,하양,하양
11553,,HAN350,,장방형,초록,
11554,,마크50,마크50,원형,주황,
11555,,R분할선C,KD,타원형,주황,
11556,,ELP,,원형,하양,
11557,,마크,,원형,하양,
11558,,I분할선T,KI,원형,주황,
11559,,D분할선C,16,원형,하양,
11560,,HRN,150,장방형,파랑,
11561,,HT,S20,장방형,하양,
11562,,H분할선T,A분할선M,기타,하양,
11563,,DE,5,원형,하양,
11564,,AC,10/20,장방형,하양,
11565,,IHLF,,원형,하양,
11566,,SC,LP,원형,하양,
11567,,MOFECIA  1,HUV,팔각형,분홍,
11568,,CP,AT2,장방형,하양,
11569,,CP,AT1,타원형,하양,
11570,,CP,500,타원형,분홍,
11571,,CP,L1,원형,하양,
11572,,CP+,,타원형,노랑,
11573,,CP,AT3,장방형,하양,
11574,,HL,Λ10,타원형,분홍,
11575,,WV,75,원형,분홍,
11576,,SUDO SUDOLPW  LPW,,장방형,초록,연두
11577,,NGP,250,장방형,분홍,
11578,,CIΛL,5,기타,노랑,
11579,,RISELTON-------- 4.5mg 마크,,장방형,갈색,갈색
11580,,RISELTON--------  6mg  마크,,장방형,갈색,주황
11581,,Q50,MI,원형,하양,
11582,,BOT-S BOT-S,,장방형,하양,하양
11583,,DCM,마크,원형,연두,
11584,,HD,EP,원형,하양,
11585,,DWP,50,원형,하양,
11586,,DWB,5,원형,하양,
11587,,DWB,10,원형,노랑,
11588,,토마벤,,장방형,갈색,
11589,,DS,D5,원형,노랑,
11590,,DS,D10,원형,노랑,
11591,,MSP,UT,타원형,하양,
11592,,CLP,673,원형,하양,
11593,,CLP,30,타원형,하양,
11594,,CLP,10/10,장방형,하양,
11595,,93,7664,원형,하양,
11596,,7663,93,원형,하양,
11597,,E2,93,원형,하양,
11598,,BIE,,원형,하양,
11599,,HN,K,원형,빨강,
11600,,FRS,십자분할선,원형,파랑,
11601,,CLP,A20,타원형,하양,
11602,,KMP,40,원형,분홍,
11603,,IK,AV,원형,주황,
11604,,NK DUO,,장방형,노랑,하양
11605,,AX,10,원형,"하양, 노랑",노랑
11606,,EZ1,,원형,분홍,
11607,,마크 덴티골드,,장방형,초록,초록
11608,,KMP,,원형,하양,
11609,,GP,분할선,장방형,하양,
11610,,CLP,I50,원형,하양,
11611,,HT,LF,원형,하양,
11612,,10,KMS,원형,노랑,
11613,,ΛUK,DXB,장방형,주황,
11614,,5,KMS,원형,하양,
11615,,U분할선K,NRT,타원형,하양,
11616,,MTS 로페도에프,,장방형,노랑,노랑
11617,,MJ4,,원형,분홍,
11618,,MJ2,,원형,분홍,
11619,,MTS LMP,,장방형,초록,노랑
11620,,YY,F분할선40,원형,하양,
11621,,HT,HR,원형,하양,
11622,,YY,F분할선80,장방형,노랑,
11623,,CLP 621,,장방형,파랑,하양
11624,,HNZ,RT,타원형,노랑,
11625,,S분할선R,마크 N,타원형,주황,
11626,,I분할선H,R+,타원형,주황,
11627,,HT100,,장방형,하양,하양
11628,,ΛR,분할선,기타,노랑,
11629,,R분할선D,HT,타원형,주황,
11630,,ARP,분할선,장방형,하양,
11631,,A-F,,타원형,검정,
11632,,H분할선T,E10,타원형,하양,
11633,,ID·5,분할선,원형,노랑,
11634,,ID,U2,원형,하양,
11635,,ID,U1,원형,하양,
11636,,ed RP,,장방형,초록,노랑
11637,,Z분할선10,U분할선M,기타,하양,
11638,,FAM,HWP,원형,하양,
11639,,SK,DJ,원형,연두,
11640,,MK,500,장방형,노랑,
11641,,마크N,AM분할선5,팔각형,하양,
11642,,KGP AP,,장방형,주황,주황
11643,,OT,,타원형,"노랑, 투명",
11644,,ID T6,40/10,타원형,파랑,
11645,,ID T9,80/10,타원형,파랑,
11646,,ID T5,40/5,타원형,분홍,
11647,,ID T8,80/5,타원형,분홍,
11648,,LJK,100,원형,하양,
11649,,RPNSL,,장방형,검정,
11650,,A5,RP,팔각형,하양,
11651,,마크V3,,타원형,하양,파랑
11652,,마크V2,,타원형,하양,파랑
11653,,AV,IKSU,타원형,주황,
11654,,CP,Λ10,원형,하양,
11655,,60T,,원형,분홍,
11656,,ETX,0분할선1,타원형,주황,
11657,,S분할선S,AR,타원형,주황,
11658,,PSSF,,타원형,"파랑, 투명",
11659,,PSSK,,타원형,"노랑, 투명",
11660,,KKN,,장방형,하양,
11661,,B분할선K,75,원형,분홍,
11662,,AC DT,,장방형,노랑,
11663,,ΛC,5,삼각형,노랑,
11664,,MJ6,,타원형,주황,
11665,,ID CT,,장방형,노랑,
11666,,SINIL 제감코프,,장방형,파랑,노랑
11667,,BI,CR,장방형,하양,
11668,,RX,RST,원형,하양,
11669,,IC,C500,장방형,하양,
11670,,마크,E,원형,하양,
11671,,마크PBC125,,장방형,갈색,갈색
11672,,마크PBC75,,장방형,주황,주황
11673,,마크PBC100,,장방형,갈색,주황
11674,,E2,L,원형,하양,
11675,,PRND,십자분할선,원형,파랑,
11676,,NBP,KLN,타원형,주황,
11677,,S분할선J,35,타원형,주황,
11678,,LPO,,장방형,연두,
11679,,RN,LP,원형,하양,
11680,,NPT,,원형,하양,
11681,,마크,분할선,타원형,노랑,
11682,,마크,R5,원형,주황,
11683,,CLP 021,,장방형,주황,하양
11684,,IH,10/20,장방형,하양,
11685,,NK3mg,,장방형,주황,주황
11686,,BI,35,타원형,주황,
11687,,F65,R65,팔각형,노랑,
11688,,F35,R35,팔각형,하양,
11689,,F31,R31,팔각형,연두,
11690,,F61,R61,팔각형,주황,
11691,,T,W분할선I,타원형,하양,
11692,,SFG,,장방형,주황,주황
11693,,YH RPC-A,,장방형,주황,하양
11694,,LIP,10,원형,하양,
11695,,RY,35,타원형,주황,
